Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TTFT,/v1/chat/completions (first token),4394,0,360,500.20450079666216,19.571400014683604,7044.753400026821,0.0,37.51369689461313,0.0,360,500,620,720,1000,1400,1900,2400,4300,7000,7000
POST,/v1/chat/completions (stream),4394,0,6,6.8165213474969395,3.602799988584593,80.09460000903346,0.0,37.51369689461313,0.0,6,6,6,7,7,8,36,42,59,80,80
,Aggregated,8788,0,46,253.51051107207965,3.602799988584593,7044.753400026821,0.0,75.02739378922627,0.0,46,240,360,440,720,1000,1500,1900,3500,7000,7000
