Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TTFT,/v1/chat/completions (first token),897,0,370,503.76760133780533,26.07149997493252,5551.526299997931,0.0,7.555121200665572,0.0,370,500,640,730,1000,1400,2000,2500,5600,5600,5600
POST,/v1/chat/completions (stream),897,0,8,8.186722184831709,5.592200002865866,104.25930001656525,0.0,7.555121200665572,0.0,8,8,8,9,10,12,16,17,100,100,100
,Aggregated,1794,0,26,255.9771617613185,5.592200002865866,5551.526299997931,0.0,15.110242401331144,0.0,29,230,370,440,730,1000,1500,2000,3900,5600,5600
