Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TTFT,/v1/chat/completions (first token),874,0,380,523.4555448512581,33.40790000220295,4403.912999998283,0.0,7.410925937153071,0.0,380,510,650,730,1100,1500,2000,2600,4400,4400,4400
POST,/v1/chat/completions (stream),874,0,7,7.912640160197609,4.262999998900341,109.26769999787211,0.0,7.410925937153071,0.0,7,8,8,8,9,12,16,19,110,110,110
,Aggregated,1748,0,33,265.68409250572813,4.262999998900341,4403.912999998283,0.0,14.821851874306143,0.0,35,260,380,450,730,1100,1600,2000,3700,4400,4400
